time;FSMEgt;zeckengt;rki
20.04.2014;56;55;2
27.04.2014;40;49;4
04.05.2014;44;41;1
11.05.2014;42;37;7
18.05.2014;50;60;4
25.05.2014;47;61;4
01.06.2014;64;64;7
08.06.2014;66;79;14
15.06.2014;71;55;7
22.06.2014;72;46;15
29.06.2014;46;39;13
06.07.2014;45;34;19
13.07.2014;47;37;10
20.07.2014;45;33;16
27.07.2014;44;32;15
03.08.2014;40;28;14
10.08.2014;26;21;12
17.08.2014;21;15;12
24.08.2014;18;11;6
31.08.2014;20;17;12
07.09.2014;19;15;8
14.09.2014;15;14;9
21.09.2014;19;11;6
28.09.2014;17;15;5
05.10.2014;15;10;7
12.10.2014;16;10;3
19.10.2014;10;10;8
26.10.2014;12;8;8
02.11.2014;14;8;5
09.11.2014;12;7;5
16.11.2014;9;7;3
23.11.2014;8;7;2
30.11.2014;8;5;3
07.12.2014;9;5;3
14.12.2014;9;5;1
21.12.2014;5;6;2
28.12.2014;4;5;1
04.01.2015;7;5;1
11.01.2015;12;6;2
18.01.2015;13;5;3
25.01.2015;9;4;
01.02.2015;10;4;1
08.02.2015;8;4;
15.02.2015;12;6;
22.02.2015;25;6;1
01.03.2015;16;8;1
08.03.2015;21;11;1
15.03.2015;21;14;1
22.03.2015;19;14;
29.03.2015;17;14;1
05.04.2015;20;22;
12.04.2015;32;38;
19.04.2015;37;42;
26.04.2015;39;42;1
03.05.2015;43;53;2
10.05.2015;35;57;5
17.05.2015;40;51;4
24.05.2015;58;51;6
31.05.2015;57;58;5
07.06.2015;60;57;3
14.06.2015;54;52;11
21.06.2015;50;45;14
28.06.2015;56;56;19
05.07.2015;51;46;12
12.07.2015;45;36;19
19.07.2015;37;37;10
26.07.2015;30;25;7
02.08.2015;36;26;13
09.08.2015;28;23;7
16.08.2015;18;17;8
23.08.2015;19;17;7
30.08.2015;16;16;4
06.09.2015;16;12;5
13.09.2015;15;10;6
20.09.2015;17;12;3
27.09.2015;14;9;4
04.10.2015;12;10;2
11.10.2015;13;8;6
18.10.2015;12;7;4
25.10.2015;13;8;2
01.11.2015;13;7;5
08.11.2015;8;6;4
15.11.2015;11;5;3
22.11.2015;10;4;3
29.11.2015;9;4;5
06.12.2015;10;4;2
13.12.2015;7;5;1
20.12.2015;9;7;2
27.12.2015;8;7;1
03.01.2016;8;7;
10.01.2016;10;5;
17.01.2016;7;4;2
24.01.2016;13;4;
31.01.2016;14;7;
07.02.2016;12;6;
14.02.2016;10;6;1
21.02.2016;13;6;1
28.02.2016;15;7;1
06.03.2016;15;13;
13.03.2016;16;11;
20.03.2016;14;12;
27.03.2016;15;22;
03.04.2016;32;43;2
10.04.2016;27;52;
17.04.2016;31;51;
24.04.2016;29;32;2
01.05.2016;39;55;5
08.05.2016;48;66;2
15.05.2016;42;65;10
22.05.2016;55;78;4
29.05.2016;61;77;4
05.06.2016;72;94;10
12.06.2016;57;62;6
19.06.2016;64;67;20
26.06.2016;60;53;21
03.07.2016;51;46;26
10.07.2016;52;40;27
17.07.2016;46;40;23
24.07.2016;41;33;22
31.07.2016;31;26;22
07.08.2016;31;20;21
14.08.2016;23;20;18
21.08.2016;24;22;22
28.08.2016;23;19;10
04.09.2016;21;16;17
11.09.2016;15;15;14
18.09.2016;14;14;7
25.09.2016;18;12;4
02.10.2016;19;8;4
09.10.2016;13;7;4
16.10.2016;13;10;3
23.10.2016;12;8;5
30.10.2016;12;8;3
06.11.2016;12;4;5
13.11.2016;8;5;4
20.11.2016;11;4;2
27.11.2016;8;4;2
04.12.2016;10;5;4
11.12.2016;9;6;
18.12.2016;6;6;3
25.12.2016;5;4;2
01.01.2017;8;6;1
08.01.2017;13;4;2
15.01.2017;13;5;
22.01.2017;8;5;1
29.01.2017;13;5;
05.02.2017;15;6;
12.02.2017;16;6;1
19.02.2017;13;7;
26.02.2017;13;11;
05.03.2017;14;13;
12.03.2017;19;21;
19.03.2017;20;23;
26.03.2017;26;46;
02.04.2017;61;60;1
09.04.2017;30;52;1
16.04.2017;36;40;3
23.04.2017;35;35;4
30.04.2017;37;37;6
07.05.2017;41;45;6
14.05.2017;51;63;4
21.05.2017;62;81;5
28.05.2017;66;89;12
04.06.2017;58;82;9
11.06.2017;60;81;13
18.06.2017;75;65;14
25.06.2017;61;53;36
02.07.2017;53;45;40
09.07.2017;52;41;20
16.07.2017;48;39;26
23.07.2017;35;27;24
30.07.2017;35;29;29
06.08.2017;29;22;19
13.08.2017;26;24;26
20.08.2017;26;21;13
27.08.2017;24;20;17
03.09.2017;18;13;17
10.09.2017;16;13;17
17.09.2017;15;12;8
24.09.2017;18;13;18
01.10.2017;16;12;9
08.10.2017;13;10;13
15.10.2017;16;10;6
22.10.2017;12;8;14
29.10.2017;12;7;19
05.11.2017;12;6;12
12.11.2017;13;5;6
19.11.2017;10;6;9
26.11.2017;10;4;6
03.12.2017;8;4;5
10.12.2017;10;5;5
17.12.2017;9;5;5
24.12.2017;8;4;4
31.12.2017;8;4;
07.01.2018;15;6;
14.01.2018;12;5;
21.01.2018;15;6;2
28.01.2018;21;7;1
04.02.2018;16;7;1
11.02.2018;14;5;
18.02.2018;16;7;
25.02.2018;16;9;1
04.03.2018;34;12;
11.03.2018;28;15;
18.03.2018;20;11;1
25.03.2018;20;15;
01.04.2018;27;27;
08.04.2018;34;51;2
15.04.2018;45;77;
22.04.2018;100;87;3
29.04.2018;84;79;1
06.05.2018;82;76;5
13.05.2018;73;72;14
20.05.2018;91;90;16
27.05.2018;99;100;12
03.06.2018;96;98;15
10.06.2018;89;73;21
17.06.2018;79;58;34
24.06.2018;73;44;42
01.07.2018;78;45;54
08.07.2018;73;36;52
15.07.2018;67;39;46
22.07.2018;50;30;40
29.07.2018;44;30;32
05.08.2018;32;22;34
12.08.2018;35;45;27
19.08.2018;33;26;15
26.08.2018;32;17;17
02.09.2018;24;14;10
09.09.2018;18;14;9
16.09.2018;21;17;7
23.09.2018;16;11;8
30.09.2018;11;11;6
07.10.2018;20;10;7
14.10.2018;21;11;8
21.10.2018;15;9;16
28.10.2018;13;6;13
04.11.2018;17;8;9
11.11.2018;13;5;5
18.11.2018;12;5;4
25.11.2018;12;4;3
02.12.2018;11;5;5
09.12.2018;9;7;4
16.12.2018;9;5;2
23.12.2018;7;6;3
30.12.2018;10;6;
06.01.2019;17;6;2
13.01.2019;16;7;1
20.01.2019;17;5;1
27.01.2019;19;8;1
03.02.2019;17;7;2
10.02.2019;37;12;
17.02.2019;35;16;
24.02.2019;39;19;2
03.03.2019;32;16;1
10.03.2019;32;16;1
17.03.2019;35;23;1
24.03.2019;50;30;1
